ebmcode;ebmlabel;price
01418;Besuch im organisierten Not(-fall)dienst;81,19
01420;Überprüfung der Notwendigkeit und Koordination der verordneten häuslichen Krankenpflege gemäß den Richtlinien des Gemeinsamen Bundesausschusses;9,81
01422;Erstverordnung von Behandlungsmaßnahmen zur psychiatrischen häuslichen Krankenpflege gemäß den Richtlinien des Gemeinsamen Bundesausschusses über die Verordnung von häuslicher Krankenpflege;13,98
01424;Folgeverordnung von Behandlungsmaßnahmen zur psychiatrischen häuslichen Krankenpflege gemäß den Richtlinien des Gemeinsamen Bundesausschusses über die Verordnung von häuslicher Krankenpflege;13,98
01425;Erstverordnung der spezialisierten ambulanten Palliativversorgung gemäß der Richtlinie des Gemeinsamen Bundesausschusses nach § 37 b SGB V ;26,40
01426;Folgeverordnung zur Fortführung der spezialisierten ambulanten Palliativversorgung gemäß der Richtlinie des Gemeinsamen Bundesausschusses nach § 37 b SGB V, ;15,86
01430;Verwaltungskomplex ;1,25
01435;Haus-/Fachärztliche Bereitschaftspauschale;9,18
01436;Konsultationspauschale;1,88
01438;Telefonische Kontaktaufnahme im Zusammenhang mit der Gebührenordnungsposition 04417 oder 13554;9,18
01440;Verweilen außerhalb der Praxis ohne Erbringung weiterer berechnungsfähiger Gebührenordnungspositionen, wegen der Erkrankung erforderlich,;25,67
01510;Zusatzpauschalen für Beobachtung und Betreuung ;NA
01512;Zusatzpauschalen für Beobachtung und Betreuung ;NA
01510;Zusatzpauschalen für Beobachtung und Betreuung ;52,39
01511;Zusatzpauschalen für Beobachtung und Betreuung ;99,66
01512;Zusatzpauschalen für Beobachtung und Betreuung ;146,52
01520;Zusatzpauschale für Beobachtung und Betreuung eines Kranken, entsprechend den Inhalten der Vereinbarung zur invasiven Kardiologie gemäß § 135 Abs. 2 SGB V zur Ausführung und Abrechnung invasiver kardiologischer Leistungen;100,40
01521;Zusatzpauschale für Beobachtung und Betreuung eines Kranken, entsprechend den Inhalten der Vereinbarung zur invasiven Kardiologie gemäß § 135 Abs. 2 SGB V zur Ausführung und Abrechnung invasiver kardiologischer Leistungen;173,97
01530;Zusatzpauschale für Beobachtung und Betreuung eines Kranken, entsprechend den Inhalten der Vereinbarung zur interventionellen Radiologie gemäß § 135 Abs. 2 SGB V zur Ausführung und Abrechnung diagnostischer angiologischer Leistungen;100,40
01531;Zusatzpauschale für Beobachtung und Betreuung eines Kranken, entsprechend den Inhalten der Vereinbarung zur interventionellen Radiologie gemäß § 135 Abs. 2 SGB V zur Ausführung und Abrechnung therapeutischer angiologischer Leistungen;173,97
01600;Ärztlicher Bericht über das Ergebnis einer Patientenuntersuchung;4,07
01601;Ärztlicher Brief in Form einer individuellen schriftlichen Information des Arztes an einen anderen Arzt über den Gesundheits- bzw. Krankheitszustand des Patienten;7,72
01602;Gebührenordnungsposition für die Mehrfertigung (z. B. Kopie) eines Berichtes oder Briefes nach den Gebührenordnungspositionen 01600, 01601, 01790, 01791, 01792, 01835, 01836, 01837, 08570, 08571, 08572, 11230 oder 11233 an den Hausarzt gemäß § 73 Abs. 1b SGB V;1,25
01610;Bescheinigung zur Feststellung der Belastungsgrenze (Muster 55);1,46
01611;Verordnung von medizinischer Rehabilitation unter Verwendung des Vordrucks Muster 61 gemäß Anlage 2 der Richtlinie des Gemeinsamen Bundesausschusses über Leistungen zur medizinischen Rehabilitation (Rehabilitations-Richtlinie) nach § 92 Abs. 1 SGB V;31,52
01612;Konsiliarbericht eines Vertragsarztes vor Aufnahme einer Psychotherapie durch den Psychologischen Psychotherapeuten oder Kinder- und Jugendlichenpsychotherapeuten (Muster 22) gemäß den Psychotherapie-Richtlinien;3,86
01620;Kurze Bescheinigung oder kurzes Zeugnis, nur auf besonderes Verlangen der Krankenkasse oder Ausstellung des vereinbarten Vordrucks nach dem Muster 50 ;3,13
01621;Krankheitsbericht, nur auf besonderes Verlangen der Krankenkasse oder Ausstellung der vereinbarten Vordrucke nach den Mustern 11, 53 oder 56;4,59
01622;Ausführlicher schriftlicher Kurplan oder begründetes schriftliches Gutachten oder schriftliche gutachterliche Stellungnahme, nur auf besonderes Verlangen der Krankenkasse oder Ausstellung der vereinbarten Vordrucke nach den Mustern 20 a-d, 51 oder 52;8,66
01623;Kurvorschlag des Arztes zum Antrag auf ambulante Kur, Ausstellung des vereinbarten Vordrucks nach Muster 25;5,53
01630;Zuschlag zu den Gebührenordnungspositionen 03000, 04000, 07345, 08345, 09345, 10345, 13435, 13437, 13561, 13601, 13675, 13677, 15345, 26315 und 30700 für die Erstellung eines Medikationsplans gemäß § 29a Bundesmantelvertrag-Ärzte (BMV-Ä);4,07
01700;Grundpauschale für Fachärzte für Laboratoriumsmedizin, Mikrobiologie und Infektionsepidemiologie, Transfusionsmedizin und ermächtigte Fachwissenschaftler der Medizin für die Erbringung von Laborleistungen gemäß den Richtlinien des Gemeinsamen Bundesausschusses über die ärztliche Betreuung während der Schwangerschaft und nach der Entbindung (Mutterschafts-Richtlinien) und/oder der Richtlinien des Gemeinsamen Bundesausschusses zur Empfängnisregelung und zum Schwangerschaftsabbruch bei Probeneinsendung,;2,40
01701;Grundpauschale für Vertragsärzte aus nicht in der Gebührenordnungsposition 01700 aufgeführten Arztgruppen für die Erbringung von Laborleistungen gemäß der Richtlinien des Gemeinsamen Bundesausschusses über die ärztliche Betreuung während der Schwangerschaft und nach der Entbindung (Mutterschafts-Richtlinien) und/oder der Richtlinien des Gemeinsamen Bundesausschusses zur Empfängnisregelung und zum Schwangerschaftsabbruch,;0,52
01704;Zuschlag für die Beratung im Rahmen des Neugeborenen-Hörscreenings gemäß Anlage 6 der Kinder-Richtlinien des Gemeinsamen Bundesausschusses im Zusammenhang mit der Erbringung der Gebührenordnungsposition 01711;2,92
01705;Neugeborenen-Hörscreening gemäß Anlage 6 der Kinder-Richtlinien des Gemeinsamen Bundesausschusses ;16,38
01706;Kontroll-AABR gemäß Anlage 6 der Kinder-Richtlinien des Gemeinsamen Bundesausschusses nach auffälliger Erstuntersuchung entsprechend der Leistung nach der Gebührenordnungsposition 01705;25,99
01707;Erweitertes Neugeborenen-Screening gemäß der Kinder-Richtlinien des Gemeinsamen Bundesausschusses ;10,75
01708;Laboruntersuchungen im Rahmen des Neugeborenen-Screenings gemäß Anlage 2 der Kinder-Richtlinien des Gemeinsamen Bundesausschusses ;12,21
01711;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);NA
01723;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);NA
01711;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);13,15
01712;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);32,14
01713;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);32,14
01714;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);32,14
01715;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);32,14
01716;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);32,14
01717;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);32,14
01718;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);32,14
01719;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);32,14
01720;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);37,05
01721;Besuch im Rahmen einer Kinderfrüherkennungsuntersuchung nach den Gebührenordnungspositionen 01711 und 01712;20,66
01722;Sonographische Untersuchung der Säuglingshüften entsprechend der Durchführungsempfehlung nach Anlage 5 der Kinder-Richtlinien;17,74
01723;Komplexe für ärztliche Maßnahmen bei Kindern zur Früherkennung von Krankheiten , die ihre körperliche oder geistige Entwicklung in nicht geringfügigem Maße gefährden, entsprechend der Richtlinien des Gemeinsamen Bundesausschusses über die Früherkennung von Krankheiten bei Kindern (Kinder-Richtlinien) bzw. Jugendlichen (Richtlinien zur Jugendgesundheitsuntersuchung);37,05
01730;Untersuchung zur Früherkennung von Krebserkrankungen bei der Frau gemäß Abschnitt B. II. §§ 6 und 8 der Krebsfrüherkennungs-Richtlinie;18,78
01731;Untersuchung zur Früherkennung von Krebserkrankungen beim Mann gemäß Abschnitt C. § 25 der Krebsfrüherkennungs-Richtlinie;14,92
01732;Untersuchung zur Früherkennung von Krankheiten gemäß den Gesundheitsuntersuchungs-Richtlinien ;31,52
01733;Zytologische Untersuchung gemäß Abschnitt B. II. §§ 7 und 8 der Krebsfrüherkennungs-Richtlinie;7,72
01734;Untersuchung auf Blut im Stuhl gemäß Abschnitt D. III. der Krebsfrüherkennungs-Richtlinie, einschl. Kosten;2,61
01735;"Beratung gemäß § 4 der Richtlinie des Gemeinsamen Bundesausschusses zur Umsetzung der Regelungen in § 62 SGB V für schwerwiegend chronisch Erkrankte (""Chroniker-Richtlinie"") zu Früherkennungsuntersuchungen für nach dem 1. April 1987 geborene Frauen";10,75
01740;Beratung zur Früherkennung des kolorektalen Karzinoms ;10,75
01741;Koloskopischer Komplex gemäß den Krebsfrüherkennungs-Richtlinien ;202,98
01742;Zuschlag zu der Gebührenordnungsposition 01741;30,06
01743;Histologie bei Früherkennungskoloskopie ;13,67
01745;Früherkennungsuntersuchung auf Hautkrebs gemäß Abschnitt D. II. der Krebsfrüherkennungs-Richtlinie;22,33
01746;Zuschlag zur Gebührenordnungsposition 01732 für die Früherkennungsuntersuchung auf Hautkrebs gemäß Abschnitt D. II. der Krebsfrüherkennungs-Richtlinie ;17,74
01750;Röntgenuntersuchung beider Mammae in zwei Ebenen (Cranio-caudal, Medio-lateral-oblique) im Rahmen des Programms zur Früherkennung von Brustkrebs durch Mammographie-Screening ;57,71
01751;Aufklärungsgespräch im Rahmen des Programms zur Früherkennung von Brustkrebs durch Mammographie-Screening;6,57
01752;Konsiliarische Beurteilung von Mammographieaufnahmen je Frau im Rahmen des Programms zur Früherkennung von Brustkrebs gemäß den Richtlinien über die Früherkennung von Krebserkrankungen ;4,28
01753;Abklärungsdiagnostik I gemäß § 12 der Anlage 9.2 des Bundesmantelvertrags-Ärzte (BMV-Ä) ;93,61
01754;Abklärungsdiagnostik II gemäß § 12 der Anlage 9.2 des Bundesmantelvertrags-Ärzte (BMV-Ä) ;65,75
01755;Stanzbiopsie(n) unter Röntgenkontrolle im Rahmen der Abklärungsdiagnostik gemäß § 19 der Anlage 9.2 des Bundesmantelvertrags-Ärzte (BMV-Ä) durch den Arzt, der nicht die Abklärungsdiagnostik nach der Gebührenordnungsposition 01753 oder 01754 durchführt ;117,30
01756;Histologische Untersuchung eines durch eine Biopsie gewonnenen Materials gemäß § 20 der Anlage 9.2 des Bundesmantelvertrags-Ärzte (BMV-Ä) ;10,12
01757;Zuschlag zu der Gebührenordnungsposition 01756 für die Aufarbeitung eines durch eine Biopsie gewonnenen Materials der weiblichen Brust im Rahmen des Programms zur Früherkennung von Brustkrebs;11,06
01758;Teilnahme an einer multidisziplinären Fallkonferenz gemäß § 13 der Anlage 9.2 des Bundesmantelvertrags-Ärzte (BMV-Ä), ggf. auch Teilnahme des behandelnden Frauen- und Hausarztes;6,68
01759;Zuschlag zu der Gebührenordnungsposition 01753 oder 01755 für Vakuumbiopsie(n) der Mamma gemäß § 19 der Anlage 9.2 des Bundesmantelvertrags-Ärzte (BMV-Ä) und gemäß der Qualitätssicherungsvereinbarung zur Vakuumbiopsie der Brust nach § 135 Abs. 2 SGB V;30,16
01770;Betreuung einer Schwangeren gemäß den Richtlinien des Gemeinsamen Bundesausschusses über die ärztliche Betreuung während der Schwangerschaft und nach der Entbindung (Mutterschafts-Richtlinien);114,07
01771;Zuschlag im Zusammenhang mit der Gebührenordnungsposition 01770 bei der Ultraschalluntersuchung mit Biometrie und systematischer Untersuchung der fetalen Morphologie im 2. Trimenon gemäß Anlage 1a der Mutterschafts-Richtlinien;45,92
01772;Weiterführende sonographische Diagnostik I;39,87
01773;Weiterführende sonographische Diagnostik II;62,20
01774;Weiterführende sonographische Diagnostik des fetalen kardiovaskulären Systems bei Verdacht auf Fehlbildung oder Erkrankung des Föten gemäß Anlage 1d der Mutterschafts-Richtlinien;82,65
01775;Weiterführende sonographische Diagnostik des fetomaternalen Gefäßsystems bei Verdacht auf Gefährdung oder Schädigung des Föten durch die in Anlage 1d der Mutterschafts-Richtlinien aufgeführten Indikationen;49,26
01776;Vortest auf Gestationsdiabetes gemäß Abschnitt A Nr. 8 der Richtlinien des Gemeinsamen Bundesausschusses (G-BA) über die ärztliche Betreuung während der Schwangerschaft und nach der Entbindung (Mutterschafts-Richtlinien) ;11,06
01777;Oraler Glukosetoleranztest (oGTT) zum Ausschluss/Nachweis eines Gestationsdiabetes gemäß Abschnitt A Nr. 8 der Richtlinien des Gemeinsamen Bundesausschusses (G-BA) über die ärztliche Betreuung während der Schwangerschaft und nach der Entbindung (Mutterschafts-Richtlinien) ;13,46
01780;Planung der Geburtsleitung durch den betreuenden Arzt der Entbindungsklinik gemäß der Mutterschafts-Richtlinien;36,32
01781;Fruchtwasserentnahme durch Amniozentese unter Ultraschallsicht;54,58
01782;Transabdominale Blutentnahme aus der Nabelschnur unter Ultraschallsicht;75,97
01783;Quantitative Bestimmung von Alpha-1-Feto-Protein (AFP) im Fruchtwasser oder im Serum im Rahmen der Mutterschaftsvorsorge;6,26
01784;Amnioskopie;6,47
01785;Tokographische Untersuchung vor der 28. Schwangerschaftswoche bei Verdacht auf vorzeitige Wehentätigkeit oder bei medikamentöser Wehenhemmung gemäß Abschnitt B 4b der Mutterschafts-Richtlinien;9,81
01786;Externe kardiotokographische Untersuchung (CTG) gemäß Abschnitt B 4c und Anlage 2 der Mutterschafts-Richtlinien;12,21
01787;Transzervikale Gewinnung von Chorionzottengewebe oder transabdominale Gewinnung von Plazentagewebe unter Ultraschallsicht;78,58
01790;Wissenschaftlich begründete humangenetische Beurteilung;18,99
01791;Wissenschaftlich begründete humangenetische Beurteilung auf der Grundlage zugesandter Befunde;38,20
01792;Ausführliche humangenetische Beurteilung wegen evidentem genetischen und/oder teratogenem Risiko ;156,44
01793;Pränatale zytogenetische Untersuchung(en) im Rahmen der Mutterschaftsvorsorge;549,57
01800;Treponemenantikörper-Nachweis mittels TPHA/TPPA-Test (Lues-Suchreaktion) und/oder Immunoassay im Rahmen der Mutterschaftsvorsorge;4,59
01802;Rötelnantikörper-Bestimmung mittels Immunoassay im Rahmen der Mutterschaftsvorsorge;10,12
01803;Untersuchung auf Rötelnantikörper der Klasse IgM mittels Immunoassay bei auffälliger Rötelnanamnese im Rahmen der Mutterschaftsvorsorge;10,12
01804;Bestimmung der Blutgruppe (A, B, 0) und des Rh-Faktors D einschl. der Serumeigenschaften im Rahmen der Mutterschaftsvorsorge;8,66
01805;Untersuchung auf Dweak im Rahmen der Mutterschaftsvorsorge;6,78
01806;Bestimmung der Blutgruppenmerkmale C, c, E und e im Rahmen der Mutterschaftsvorsorge;4,28
01807;Antikörper-Nachweis mittels indirekter Antiglobulintests gegen mindestens 2 Testerythrozyten-Präparationen (Antikörper-Suchtest) im Rahmen der Mutterschaftsvorsorge;6,78
01808;Antikörper-Differenzierung mittels indirekter Antiglobulintests gegen mindestens 8 Testerythrozyten-Präparationen bei positivem Ausfall des Antikörper-Suchtests im Rahmen der Mutterschaftsvorsorge;14,40
01809;Quantitativer Antikörpernachweis mittels indirektem Coombstest im Rahmen der Mutterschaftsvorsorge;8,35
01810;Untersuchung auf Hepatitis B-Virus-Antigen (HBs-Ag) bei einer Schwangeren im Rahmen der Mutterschaftsvorsorge;5,74
01811;Untersuchung auf HIV-Antikörper bei einer Schwangeren mittels Immunoassay im Rahmen der Mutterschaftsvorsorge;4,28
01812;Glukosebestimmung im venösen Plasma im Rahmen des Screenings auf Gestationsdiabetes nach den Gebührenordnungspositionen 01776 und 01777 zum Ausschluss/Nachweis eines Gestationsdiabetes gemäß Abschnitt A Nr. 8 der Richtlinien des Gemeinsamen Bundesausschusses (G-BA) über die ärztliche Betreuung während der Schwangerschaft und nach der Entbindung (Mutterschafts-Richtlinien) ;1,67
01815;Untersuchung und Beratung der Wöchnerin gemäß Abschnitt F.1. oder F.2. der Mutterschafts-Richtlinien;13,98
01816;Chlamydia trachomatis - Nachweis im Urin gemäß Abschnitt A, Nr. 2 b der Mutterschaftsrichtlinie ;8,87
01820;Ausstellung von Wiederholungsrezepten, Überweisungsscheinen oder Übermittlung von Befunden oder ärztlichen Anordnungen an den Patienten im Auftrag des Arztes durch das Praxispersonal, auch mittels technischer Kommunikationseinrichtungen, im Zusammenhang mit Empfängnisregelung, Sterilisation oder Schwangerschaftsabbruch;1,15
01821;Beratung im Rahmen der Empfängnisregelung ;7,41
01822;Beratung ggf. einschließlich Untersuchung im Rahmen der Empfängnisregelung ;11,79
01825;Entnahme von Zellmaterial von der Ektozervix und aus der Endozervix im Rahmen der Empfängnisregelung, einschl. Kosten;1,98
01826;Zytologische Untersuchung im Rahmen der Empfängnisregelung;6,05
01827;Mikroskopische Untersuchung des Nativabstrichs des Scheidensekrets im Rahmen der Empfängnisregelung;2,82
01828;Entnahme von Venenblut für den Varicella-Zoster-Virus-Antikörper-Nachweis im Rahmen der Empfängnisregelung;1,98
01830;Einlegen, Wechseln oder Entfernung eines Intrauterinpessars (IUP) im Rahmen der Empfängnisregelung bei Frauen bis zum vollendeten 20. Lebensjahr;21,19
01831;Ultraschallkontrolle nach Applikation eines Intrauterinpessars (IUP) gemäß der Richtlinie des Gemeinsamen Bundesausschusses zur Empfängnisregelung und zum Schwangerschaftsabbruch ;15,55
01832;Subkutane Applikation eines Depot-Kontrazeptivums im Rahmen der Empfängnisregelung bei Frauen bis zum vollendeten 20. Lebensjahr;6,78
01833;Varicella-Zoster-Virus-Antikörper-Nachweis bei ungeklärter Immunitätslage im Rahmen der Empfängnisregelung (mindestens IgG-Nachweis), ;11,06
01835;Wissenschaftlich begründete humangenetische Beurteilung;14,92
01836;Wissenschaftlich begründete humangenetische Beurteilung auf der Grundlage zugesandter Befunde;30,06
01837;Ausführliche humangenetische Beurteilung wegen evidentem genetischen und/oder teratogenem Risiko ;123,04
01838;Postnatale zytogenetische Untersuchung(en) im Rahmen der Empfängnisregelung,;145,37
01839;Zuschlag zu der Gebührenordnungsposition 01838 für die spezielle Darstellung der Strukturen einzelner Chromosomen durch Anwendung besonderer Techniken;46,65
01840;Chlamydia trachomatis - Nachweis im Urin gemäß Abschnitt B, Nr. 6 der Richtlinien des Gemeinsamen Bundesausschusses zur Empfängnisregelung und zum Schwangerschaftsabbruch ;6,99
01850;Beratung über Methoden, Risiken und Folgen einer Sterilisation sowie über alternative Maßnahmen zur Empfängnisverhütung;7,41
01851;Untersuchung zur Durchführung des operativen Eingriffs bei Sterilisation,;7,20
01852;Präanästhesiologische Untersuchung einer Patientin im Zusammenhang mit der Durchführung einer Narkose nach der Gebührenordnungsposition 01856;18,68
01853;Infiltrationsanästhesie zur Durchführung der Sterilisation beim Mann;5,53
01854;Sterilisation des Mannes bei einer Indikation gemäß der Richtlinien des Gemeinsamen Bundesausschusses;83,59
01855;Sterilisation der Frau bei einer Indikation gemäß der Richtlinien des Gemeinsamen Bundesausschusses;135,98
01856;Narkose im Zusammenhang mit einer Sterilisation ;135,46
01857;Beobachtung und Betreuung nach Sterilisation im Anschluss an die Leistung entsprechend der Gebührenordnungsposition 01856;52,39
01900;Beratung über die Erhaltung einer Schwangerschaft und über die ärztlich bedeutsamen Gesichtspunkte bei einem Schwangerschaftsabbruch;8,45
01901;Untersuchung zur Durchführung des operativen Eingriffs bei Schwangerschaftsabbruch;9,91
01902;Ultraschalluntersuchung zur Feststellung des Schwangerschaftsalters vor einem geplanten Schwangerschaftsabbruch;15,55
01903;Präanästhesiologische Untersuchung einer Patientin im Zusammenhang mit der Durchführung einer Narkose nach der Gebührenordnungsposition 01913;18,68
01904;Durchführung eines Schwangerschaftsabbruchs unter medizinischer oder kriminologischer Indikation bis zur vollendeten 12. Schwangerschaftswoche p. c. bzw. bis zur vollendeten 14. Schwangerschaftswoche p. m.;100,60
01905;Durchführung eines Schwangerschaftsabbruchs unter medizinischer Indikation ab der 13. Schwangerschaftswoche p. c. bzw. ab der 15. Schwangerschaftswoche p. m.;115,01
01906;Durchführung eines medikamentösen Schwangerschaftsabbruchs unter medizinischer oder kriminologischer Indikation bis zum 63. Tag p.m.;58,55
01910;Beobachtung und Betreuung nach Durchführung eines Schwangerschaftsabbruchs,;NA
01911;Beobachtung und Betreuung nach Durchführung eines Schwangerschaftsabbruchs,;NA
01910;Beobachtung und Betreuung nach Durchführung eines Schwangerschaftsabbruchs,;52,39
01911;Beobachtung und Betreuung nach Durchführung eines Schwangerschaftsabbruchs,;105,40
01912;Kontrolluntersuchung(en) nach einem durchgeführten Schwangerschaftsabbruch nach den Gebührenordnungspositionen 01904, 01905 oder 01906 zwischen dem 7. und 14. Tag nach Abbruch;21,60
01913;Narkose im Zusammenhang mit einem Schwangerschaftsabbruch;135,46
01915;Chlamydia trachomatis - Nachweis im Urin gemäß Abschnitt D, Nr. 3.3, a, (aa) der Richtlinien des Gemeinsamen Bundesausschusses zur Empfängnisregelung und zum Schwangerschaftsabbruch ;6,99
01950;Substitutionsgestützte Behandlung Opiatabhängiger nach den Richtlinien des Gemeinsamen Bundesausschusses,;4,07
01951;Zuschlag zu der Gebührenordnungsposition 01950 für die Behandlung an Samstagen, an Sonn- und gesetzlichen Feiertagen, am 24. und 31. Dezember;8,66
01952;Zuschlag zu den Gebührenordnungspositionen 01950 oder 01955 für das therapeutische Gespräch;12,52
